Directory Index,Cumulative Processing Time (seconds)
1,9.162760019302368
2,20.229822158813477
3,30.477224111557007
4,40.603755950927734
5,50.918606996536255
6,61.1971390247345
7,71.3340699672699
8,81.60961604118347
9,91.83252692222595
10,102.10033082962036
11,112.2121250629425
12,122.43403506278992
13,132.6618721485138
14,142.8122580051422
15,152.9338300228119
16,163.05504608154297
17,173.13651180267334
18,183.5103578567505
19,193.83684706687927
20,204.2337520122528
21,214.93116092681885
22,225.82794213294983
23,236.84158515930176
24,247.7027509212494
25,258.7912611961365
26,269.88554787635803
27,281.0382869243622
28,293.42640805244446
29,304.48186898231506
30,315.57547521591187
31,326.5130019187927
32,337.62883591651917
33,349.37672305107117
34,360.2309889793396
35,371.28242015838623
36,382.2497718334198
37,393.13826084136963
38,403.9772529602051
39,414.6603820323944
40,425.43859004974365
41,436.1719899177551
42,447.32645297050476
43,458.066113948822
44,469.000244140625
45,479.70555686950684
46,490.4068169593811
47,500.959529876709
48,511.61117720603943
49,522.6126971244812
50,533.4292321205139
51,544.3142139911652
52,555.1587901115417
53,565.9332621097565
54,576.619246006012
55,587.3827149868011
56,598.3052179813385
57,608.9833698272705
58,619.811450958252
59,630.5313990116119
60,641.4487478733063
61,652.1027190685272
62,662.803050994873
63,673.4300739765167
64,684.2599639892578
65,694.8524389266968
66,705.5318818092346
67,716.0305178165436
68,726.5445191860199
69,737.0648429393768
70,747.9903960227966
71,758.5988891124725
72,769.2880318164825
73,779.9509768486023
74,790.8375489711761
75,801.5894811153412
76,812.1957228183746
77,822.901654958725
78,833.8128080368042
79,844.4673719406128
80,854.9094288349152
81,865.4724600315094
82,876.1505341529846
83,886.7739181518555
84,897.4256739616394
85,908.3063032627106
86,919.2675728797913
87,931.4015588760376
88,942.1727352142334
89,953.2817161083221
90,963.9968841075897
91,974.6909379959106
92,985.7855091094971
93,1006.6062922477722
94,1027.439917087555
95,1038.3356311321259
96,1049.1130230426788
97,1059.8637130260468
98,1080.465045928955
99,1091.8570079803467
100,1102.6327409744263
101,1123.4845678806305
102,1134.323294878006
103,1155.219938993454
104,1166.2689278125763
105,1187.4791150093079
106,1198.5398650169373
107,1209.701446056366
108,1230.8390319347382
109,1241.9381110668182
110,1262.741291999817
111,1273.761130809784
112,1285.1322000026703
113,1306.1738851070404
114,1317.045835018158
115,1329.2482600212097
116,1340.0290489196777
117,1351.0394179821014
118,1362.0296080112457
119,1372.9989919662476
120,1383.8340330123901
121,1394.9105520248413
122,1405.7502980232239
123,1416.5465440750122
124,1437.580402135849
125,1458.5393979549408
126,1480.8307361602783
127,1502.0469460487366
128,1523.3864941596985
129,1544.6495110988617
130,1565.7891590595245
131,1586.949635028839
132,1608.0694098472595
133,1629.0280330181122
134,1650.0559351444244
135,1671.318494796753
136,1692.5445201396942
137,1713.6927530765533
138,1734.8189549446106
139,1755.7008969783783
140,1776.7434480190277
141,1797.7297229766846
142,1818.9568841457367
143,1840.2370800971985
144,1861.5245490074158
145,1882.9188830852509
146,1904.0998828411102
147,1925.202772140503
148,1946.6776270866394
149,1968.017587184906
